DATE,FAZR ADHAN,FAZR IQAMAH,SUNRISE,DHUHR ADHAN,DHUHR IQAMAH,ASR ADHAN,ASR IQAMAH,MAGRIB ADHAN,MAGRIB IQAMAH,ISHA ADHAN,ISHA IQAMAH
Example,6:43,,5:28,12:30,,12:01,,16:18,,19:08,
March 1,6:43,7:03,5:28,12:30,12:50,14:01,14:21,16:18,16:28,19:08,19:28
March 2,6:43,7:03,5:28,13:30,12:50,15:01,15:21,17:18,17:28,20:08,20:28
March 3,7:43,8:03,5:28,14:30,12:50,16:01,16:21,18:18,18:28,21:08,21:28
March 4,8:43,9:03,5:28,15:30,12:50,17:01,17:21,19:18,19:28,22:08,22:28
March 5,9:43,10:03,5:28,16:30,12:50,18:01,18:21,20:18,20:28,23:08,23:28
March 6,10:43,11:03,5:28,17:30,12:50,19:01,19:21,21:18,21:28,0:08,0:28
March 7,11:43,12:03,5:28,18:30,12:50,20:01,20:21,22:18,22:28,1:08,1:28
March 8,12:43,13:03,5:28,19:30,12:50,21:01,21:21,23:18,23:28,2:08,2:28
March 9,13:43,14:03,5:28,20:30,12:50,22:01,22:21,0:18,0:28,3:08,3:28
March 10,14:43,15:03,5:28,21:30,12:50,23:01,23:21,1:18,1:28,4:08,4:28
March 11,15:43,16:03,5:28,22:30,12:50,0:01,0:21,2:18,2:28,5:08,5:28
March 12,16:43,17:03,5:28,23:30,12:50,1:01,1:21,3:18,3:28,6:08,6:28
March 13,17:43,18:03,5:28,0:30,12:50,2:01,2:21,4:18,4:28,7:08,7:28
March 14,18:43,19:03,5:28,1:30,12:50,3:01,3:21,5:18,5:28,8:08,8:28
March 15,19:43,20:03,5:28,2:30,12:50,4:01,4:21,6:18,6:28,9:08,9:28
March 16,20:43,21:03,5:28,3:30,12:50,5:01,5:21,7:18,7:28,10:08,10:28
March 17,21:43,22:03,5:28,4:30,12:50,6:01,6:21,8:18,8:28,11:08,11:28
March 18,22:43,23:03,5:28,5:30,12:50,7:01,7:21,9:18,9:28,12:08,12:28
March 19,23:43,0:03,5:28,6:30,12:50,8:01,8:21,10:18,10:28,13:08,13:28
March 20,0:43,1:03,5:28,7:30,12:50,9:01,9:21,11:18,11:28,14:08,14:28
March 21,1:43,2:03,5:28,8:30,12:50,10:01,10:21,12:18,12:28,15:08,15:28
March 22,2:43,3:03,5:28,9:30,12:50,11:01,11:21,13:18,13:28,16:08,16:28
March 23,3:43,4:03,5:28,10:30,12:50,12:01,12:21,14:18,14:28,17:08,17:28
March 24,4:43,5:03,5:28,11:30,12:50,13:01,13:21,15:18,15:28,18:08,18:28
March 25,5:43,6:03,5:28,12:30,12:50,14:01,14:21,16:18,16:28,19:08,19:28
March 26,6:43,7:03,5:28,13:30,12:50,15:01,15:21,17:18,17:28,20:08,20:28
March 27,7:43,8:03,5:28,14:30,12:50,16:01,16:21,18:18,18:28,21:08,21:28
March 28,8:43,9:03,5:28,15:30,12:50,17:01,17:21,19:18,19:28,22:08,22:28
March 29,9:43,10:03,5:28,16:30,12:50,14:01,14:21,20:18,20:28,23:08,23:28
March 30,10:43,11:03,5:28,17:30,12:50,15:01,15:21,21:18,21:28,0:08,0:28
March 31,11:43,12:03,5:28,18:30,12:50,16:01,16:21,22:18,22:28,1:08,1:28